2023-02-04 11:54:11 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-02-04 11:54:11 [main] INFO  c.m.demo.config.server.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 17.0.6 with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-02-04 11:54:11 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-02-04 11:54:13 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=da9e7251-083a-3a26-8a7b-02e61153cbe0
2023-02-04 11:54:13 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-02-04 11:54:13 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-02-04 11:54:13 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-02-04 11:54:13 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2023-02-04 11:54:13 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-02-04 11:54:13 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1587 ms
2023-02-04 11:54:14 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5bcec67e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2dafae61, org.springframework.security.web.context.SecurityContextHolderFilter@50b93353, org.springframework.security.web.header.HeaderWriterFilter@422ad5e2, org.springframework.security.web.csrf.CsrfFilter@3c770db4, org.springframework.security.web.authentication.logout.LogoutFilter@23c767e6, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@59c500f7, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@2047981, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@7a2fce12, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@4db77402, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@c8f97a7, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@456f7d9e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@66e17eff, org.springframework.security.web.access.ExceptionTranslationFilter@53aa38be, org.springframework.security.web.access.intercept.AuthorizationFilter@2efd2f21]
2023-02-04 11:54:14 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Mvc [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-02-04 11:54:14 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Mvc [pattern='/actuator/**']
2023-02-04 11:54:14 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Mvc [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-02-04 11:54:14 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Mvc [pattern='/encrypt/**']
2023-02-04 11:54:14 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Mvc [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-02-04 11:54:14 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Mvc [pattern='/decrypt/**']
2023-02-04 11:54:20 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-02-04 11:54:20 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-02-04 11:54:20 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 9.036 seconds (process running for 9.705)
2023-02-05 09:33:29 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-02-05 09:33:29 [main] INFO  c.m.demo.config.server.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 17.0.6 with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-02-05 09:33:29 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-02-05 09:33:39 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=da9e7251-083a-3a26-8a7b-02e61153cbe0
2023-02-05 09:33:43 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-02-05 09:33:43 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-02-05 09:33:43 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-02-05 09:33:43 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2023-02-05 09:33:44 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-02-05 09:33:44 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 13979 ms
